Banjarnegara,Batang,Blora,Boyolali,Brebes,Cilacap,Demak,Jepara,Karanganyar,Kebumen,Kendal,Klaten,Kudus,Magelang,Pati,Pekalongan,Pemalang,Purbalingga,Purwodadi,Purwokerto
0,251,293,221,192,132,172,216,106,114,175,97,197,71,221,244,109,49,217,69
251,0,240,168,85,256,119,163,208,255,64,206,144,168,169,7,42,284,140,188
293,240,0,222,325,398,121,77,262,309,176,260,96,222,72,247,262,338,62,385
221,168,222,0,253,328,101,145,40,237,104,38,126,111,150,175,210,266,122,286
192,85,325,253,0,197,204,248,293,330,149,207,229,253,253,78,43,147,225,127
132,256,398,328,197,0,277,321,377,94,320,228,302,176,326,249,214,81,298,61
172,119,121,101,204,277,0,44,141,188,55,139,25,101,49,126,161,217,21,237
216,163,77,146,248,321,44,0,185,232,99,183,19,145,93,170,205,261,65,281
106,208,262,40,293,377,141,185,0,277,144,49,166,122,93,215,256,257,162,328
114,255,309,237,330,94,188,232,277,0,191,139,213,87,237,262,297,95,209,75
175,64,176,104,149,320,55,99,144,191,0,142,80,104,104,71,106,220,96,250
97,206,260,38,207,228,130,183,49,139,142,0,164,73,188,213,248,208,160,188
197,144,96,126,229,302,25,19,166,213,80,164,0,126,24,151,186,242,46,262
71,168,222,111,253,176,101,145,122,87,104,73,126,0,150,175,210,116,122,146
221,169,72,150,253,326,49,93,190,237,104,188,24,150,0,175,210,266,70,286
244,7,247,175,78,249,126,170,215,262,71,213,151,175,175,0,35,199,169,179
209,42,282,210,43,214,161,205,258,297,106,248,188,210,210,36,0,234,202,144
49,284,338,266,147,81,217,261,257,95,220,208,242,116,266,199,234,0,268,20
217,140,62,122,225,298,21,65,162,209,96,160,46,122,70,168,202,268,0,288
69,188,385,286,127,61,237,281,326,75,250,188,262,146,286,179,144,20,288,0
